X.1,X,Y,Class,Ultra_Blue,Blue,Green,Red,NIR,SWNIR_1,SWNIR_2,Cirrus
209,785067.825,1448899.088,4,10804,10040,9425,8372,8419,7077,6380,5162
106,772760.5804,1440743.53,2,13095,12964,10981,10505,17555,17804,17443,5122
29,799664.6535,1424317.97,1,10909,10295,10866,13438,17576,21681,17731,5146
18,765745.0474,1422686.451,1,11219,10594,10985,12963,17440,23632,19237,5135
64,776628.2408,1429210.928,2,12305,11972,12258,13055,15958,16003,14767,5105
223,784200.0844,1436660.147,4,10982,10107,9309,8550,8427,7052,6503,5126
90,790752.0794,1428347.183,2,13204,13099,14057,15554,18273,18937,16051,5076
69,790656.1077,1431597.425,2,12550,12431,14720,17854,20663,20904,15289,5105
42,791139.1654,1455107.298,1,11263,10680,11070,12468,17041,20780,16077,5192
57,795137.9872,1430384.982,1,11249,10677,11590,13762,19488,23312,17758,5108
116,778893.1735,1437645.243,2,15750,16418,17667,19295,21139,21037,16149,5114
20,776986.5353,1415699.709,1,10961,10371,10709,12558,17166,22800,18209,5101
142,788564.653,1431467.675,3,10397,9575,9498,8231,22298,13469,8805,5089
2,763393.7402,1440594.774,1,11679,11308,12404,14595,20449,25702,20650,5120
215,789786.1855,1431240.071,4,10655,9850,9225,8120,7470,5731,5484,5103
78,782971.9717,1439780.614,2,12750,12532,12739,13571,15785,16663,15265,5124
163,760171.4637,1450099.661,3,10276,9411,9219,8404,18017,12848,9184,5189
73,791353.5022,1440573.98,2,12406,12041,12537,13386,16562,17604,15540,5115
125,782159.811,1452471.875,2,12698,12348,13961,15456,20383,21403,17457,5125
211,784170.5939,1436376.181,4,10785,9945,9132,8350,8213,6932,6470,5123
15,759676.4355,1423025.551,1,11373,10769,11107,12782,17690,21246,17160,5109
118,787284.3012,1450761.379,2,13781,13662,14641,15110,15093,15441,13347,5153
137,776795.8264,1414843.312,3,11589,10937,11502,10701,9877,8715,7951,5097
85,785300.8856,1425416.846,2,12425,12257,12438,12602,17355,15615,13382,5092
166,758075.5144,1442155.106,3,10423,9570,9390,8787,17926,14049,9859,5172
60,782280.9753,1436757.505,1,11291,10685,11664,14607,18209,21298,18446,5128
203,781555.176,1450783.357,4,10705,9846,8910,8197,8114,7141,6594,5148
87,789203.7356,1426248.601,2,13300,13497,15500,17910,23719,27882,21407,5089
202,769586.8266,1454478.674,4,10508,9651,8892,8053,8406,6332,5916,5200
115,778035.8261,1438160.292,2,13311,12880,10886,10473,16325,19157,17699,5121
188,796307.8494,1441038.193,4,11620,11045,10541,9802,9917,8512,7717,5118
198,780813.0692,1443671.693,4,10541,9753,9261,8271,7023,6177,5880,5171
101,774225.7487,1443510.715,2,12175,11798,12623,13845,16910,16770,14948,5164
84,776573.8569,1447720.675,2,12364,12184,13458,15207,19032,20797,17519,5140
174,808110.9312,1441381.658,1,11688,11312,12916,15048,18726,20949,15222,5106
94,778723.6235,1431063.183,2,12858,12557,12624,12983,14595,14603,13670,5081
207,783939.5901,1450620.519,4,10746,10019,9836,8819,8311,7176,6453,5178
68,786983.5898,1432921.835,2,12257,11785,11789,12084,15058,14098,13041,5100
17,763281.7732,1420946.163,1,11463,10936,11573,13664,18891,23862,18324,5138
184,786435.2831,1448774.773,2,12356,11943,13623,16408,21040,24062,16502,5141
200,780527.263,1448744.754,4,10794,10090,10073,8931,12196,8742,7418,5168
217,784193.8515,1428379.795,4,10428,9507,8609,7696,7335,6113,5800,5095
112,781578.7822,1433534.454,2,15242,14551,11251,10680,15453,16586,17029,5103
131,780629.647,1412656.65,3,10396,9546,9092,8552,14274,14585,10851,5101
30,798205.8833,1423294.272,1,10887,10277,10743,12350,18145,20315,15475,5126
36,809751.2816,1428179.232,1,10830,10229,10753,12344,18302,19862,14907,5147
35,812195.3614,1431723.788,1,11113,10662,11230,13539,18575,23400,17884,5114
52,764730.9462,1432982.617,1,11382,10837,11378,13105,17548,22561,18441,5152
213,790239.8845,1431447.195,4,10513,9597,8648,7689,7194,5718,5496,5098
98,778007.0346,1420835.796,2,12839,12405,13266,13201,16915,18629,17512,5092
152,799157.7905,1433593.464,3,10239,9276,9369,7646,27143,12083,7800,5102
103,771263.4215,1440666.753,2,14166,13134,11409,10107,17081,18632,18194,5122
127,763270.031,1413834.726,3,10848,9899,9868,8355,27823,13447,8352,5115
89,789472.4565,1428398.368,2,12384,12327,14037,16382,19450,23517,17998,5080
91,774424.0903,1428462.349,2,12760,12542,12331,12689,17214,16764,14340,5114
62,792425.1865,1449153.852,1,11521,10997,11708,13838,18355,22408,17944,5141
