X,Y,Class,2016-01-_1,2016-01-_2,2016-01-_3,2016-01-_4,2016-01-_5,2016-01-_6,2016-01-_7,2016-01-_8
767854.825813798,1441894.39134527,1,10367.00000,9717.00000,9254.00000,9423.00000,13365.00000,15195.00000,11692.00000,5145.00000
763393.740214733,1440594.77426056,1,10448.00000,9862.00000,9622.00000,10289.00000,14905.00000,17071.00000,13227.00000,5207.00000
763380.943984976,1442667.76348121,1,10249.00000,9585.00000,9019.00000,9309.00000,13821.00000,14459.00000,10491.00000,5221.00000
766580.001424249,1439558.27965024,1,10501.00000,9895.00000,9550.00000,10083.00000,14546.00000,16299.00000,12306.00000,5219.00000
760341.839417668,1437530.07723374,1,10770.00000,10293.00000,10619.00000,12269.00000,15833.00000,19594.00000,16849.00000,5178.00000
757577.853790137,1437146.19034103,3,10190.00000,9549.00000,8956.00000,9077.00000,13736.00000,13601.00000,10432.00000,5173.00000
759055.818327081,1451356.40348627,1,10603.00000,10057.00000,9975.00000,11044.00000,14939.00000,17092.00000,13767.00000,5142.00000
759650.843010787,1451554.74504751,1,10461.00000,9935.00000,9966.00000,11315.00000,15227.00000,18307.00000,15104.00000,5119.00000
760578.569668176,1451234.83930358,1,10194.00000,9540.00000,9078.00000,9551.00000,13819.00000,15371.00000,11946.00000,5141.00000
757417.900918173,1450217.53903789,1,10814.00000,10265.00000,10299.00000,11744.00000,14745.00000,18346.00000,14890.00000,5123.00000
767738.060217263,1451260.43176309,1,10590.00000,9957.00000,9395.00000,9605.00000,13761.00000,15492.00000,11951.00000,5125.00000
764986.870819491,1451311.61668212,1,10458.00000,9767.00000,9354.00000,9990.00000,14476.00000,16141.00000,12444.00000,5136.00000
771986.408496617,1451951.42816998,1,10446.00000,9803.00000,9200.00000,9521.00000,13352.00000,15744.00000,12279.00000,5113.00000
791667.009863016,1413940.22767655,1,10284.00000,9685.00000,9391.00000,9442.00000,14037.00000,13797.00000,11061.00000,5183.00000
759676.4354703,1423025.55080409,1,10500.00000,9850.00000,9342.00000,9713.00000,13485.00000,15405.00000,11870.00000,5226.00000
763748.835590493,1421880.28824082,1,10466.00000,9871.00000,9555.00000,10164.00000,14651.00000,17420.00000,13276.00000,5250.00000
763281.773204361,1420946.16346856,1,10380.00000,9746.00000,9294.00000,9661.00000,14331.00000,15625.00000,11663.00000,5219.00000
765745.047432598,1422686.45071552,1,10384.00000,9729.00000,9290.00000,9660.00000,13834.00000,15704.00000,12463.00000,5265.00000
776909.757895656,1416953.73978435,1,10501.00000,9831.00000,9310.00000,9512.00000,14590.00000,15442.00000,11447.00000,5271.00000
776986.535274199,1415699.70926815,1,10486.00000,9818.00000,9431.00000,9736.00000,14858.00000,15739.00000,12102.00000,5268.00000
776141.984110231,1413268.42561431,1,10453.00000,9810.00000,9526.00000,9979.00000,14445.00000,15659.00000,12173.00000,5273.00000
767670.88001104,1415392.59975398,1,10396.00000,9719.00000,9276.00000,9437.00000,14829.00000,14151.00000,10574.00000,5273.00000
769692.68431266,1423403.03958192,1,10359.00000,9624.00000,9090.00000,9214.00000,14189.00000,14037.00000,10589.00000,5294.00000
775396.603726881,1412068.77907458,1,10460.00000,9772.00000,9421.00000,9726.00000,15050.00000,15241.00000,11928.00000,5249.00000
769657.494680827,1417580.75504245,1,10384.00000,9698.00000,9244.00000,9676.00000,14366.00000,15693.00000,12184.00000,5322.00000
803247.597793179,1427081.95563708,1,10280.00000,9705.00000,9637.00000,10489.00000,15069.00000,17420.00000,13163.00000,5138.00000
800278.872489535,1421093.32011077,1,10449.00000,9928.00000,9904.00000,11179.00000,15194.00000,17203.00000,14236.00000,5128.00000
798576.973931842,1421054.93142149,1,10286.00000,9673.00000,9378.00000,10081.00000,14349.00000,15862.00000,12461.00000,5133.00000
799664.653461196,1424317.97000955,1,10212.00000,9637.00000,9443.00000,10118.00000,14787.00000,15777.00000,12186.00000,5161.00000
798205.883268888,1423294.27162898,1,10263.00000,9706.00000,9491.00000,10133.00000,15126.00000,17002.00000,13253.00000,5141.00000
798359.438025972,1422692.8488304,3,9982.00000,9292.00000,8730.00000,8798.00000,13514.00000,13441.00000,9893.00000,5136.00000
800969.868896419,1422846.40358749,1,10343.00000,9750.00000,9559.00000,10020.00000,14428.00000,14566.00000,12022.00000,5134.00000
794891.659761801,1425021.76264619,1,10107.00000,9500.00000,9271.00000,9543.00000,15122.00000,15505.00000,11851.00000,5149.00000
810122.372230175,1430751.27451993,1,9919.00000,9214.00000,9015.00000,8846.00000,16361.00000,14294.00000,10306.00000,5113.00000
812195.361450824,1431723.78798147,1,9942.00000,9263.00000,8892.00000,9222.00000,14495.00000,13437.00000,10337.00000,5134.00000
809751.281567219,1428179.23233875,1,10019.00000,9352.00000,9202.00000,9325.00000,16102.00000,14331.00000,10702.00000,5116.00000
804831.131225619,1436669.53078258,1,10288.00000,9713.00000,9469.00000,10007.00000,14770.00000,16570.00000,12824.00000,5154.00000
774339.315243202,1440014.14533534,1,11516.00000,11099.00000,10754.00000,11227.00000,13187.00000,13708.00000,12513.00000,5248.00000
780275.166321771,1442822.91776702,1,10504.00000,9872.00000,9619.00000,10164.00000,13101.00000,14060.00000,11527.00000,5211.00000
779046.728265091,1447122.4509654,1,10424.00000,9804.00000,9429.00000,9842.00000,14354.00000,15182.00000,11913.00000,5179.00000
775866.865170455,1446943.3037488,1,10664.00000,10090.00000,10526.00000,13060.00000,16056.00000,21525.00000,16680.00000,5178.00000
791139.165385537,1455107.29833382,1,10297.00000,9637.00000,9448.00000,9928.00000,14143.00000,15610.00000,12494.00000,5124.00000
794306.232250415,1455286.44555042,1,10154.00000,9471.00000,9078.00000,9190.00000,14080.00000,13324.00000,9995.00000,5111.00000
800985.864183614,1427403.46090973,3,10000.00000,9330.00000,8950.00000,9215.00000,14445.00000,14284.00000,10783.00000,5139.00000
797019.032958918,1427646.58927511,1,10235.00000,9660.00000,9709.00000,11311.00000,15200.00000,18507.00000,15131.00000,5209.00000
795205.167390852,1452656.82033534,1,10315.00000,9859.00000,9767.00000,10844.00000,15619.00000,18411.00000,14047.00000,5138.00000
804428.049988271,1442829.3158819,1,10182.00000,9593.00000,9495.00000,10628.00000,15191.00000,17299.00000,12852.00000,5119.00000
780319.953125921,1455395.21350336,1,10366.00000,9697.00000,9253.00000,9456.00000,13842.00000,13553.00000,10343.00000,5191.00000
787153.139816205,1455548.76826044,1,10160.00000,9504.00000,9031.00000,9641.00000,13143.00000,15125.00000,11492.00000,5142.00000
786660.484970557,1453888.45744946,1,10586.00000,10013.00000,9976.00000,10623.00000,15570.00000,17125.00000,12837.00000,5181.00000
786378.967915902,1453299.83088063,1,10577.00000,10062.00000,10046.00000,10931.00000,14478.00000,15192.00000,11953.00000,5172.00000
764730.946224352,1432982.61708382,1,10456.00000,9887.00000,9870.00000,11155.00000,14138.00000,18672.00000,14487.00000,5153.00000
766656.778802792,1433712.00217997,1,10655.00000,10100.00000,10640.00000,12397.00000,16075.00000,21024.00000,16683.00000,5173.00000
766272.89191008,1431997.30739253,1,10244.00000,9512.00000,9098.00000,9458.00000,14171.00000,13655.00000,10626.00000,5183.00000
765172.416150971,1429809.15210406,1,10414.00000,9768.00000,9578.00000,10456.00000,14338.00000,16949.00000,13322.00000,5225.00000
795534.670307097,1430231.42768605,1,10187.00000,9541.00000,9281.00000,9231.00000,15031.00000,13734.00000,10280.00000,5178.00000
795137.987184627,1430384.98244313,1,10293.00000,9708.00000,9485.00000,10072.00000,14978.00000,16133.00000,12160.00000,5183.00000
794133.483148696,1430701.68912962,1,10153.00000,9468.00000,9073.00000,9426.00000,14636.00000,14172.00000,11122.00000,5161.00000
777856.678897684,1436232.85944212,1,11169.00000,10581.00000,10119.00000,10886.00000,12609.00000,16932.00000,14896.00000,5240.00000
782280.975336196,1436757.50486216,1,10871.00000,10371.00000,10738.00000,12604.00000,15531.00000,18500.00000,16327.00000,5224.00000
795304.33817147,1449486.55441302,1,10031.00000,9391.00000,9057.00000,9484.00000,14353.00000,15133.00000,11264.00000,5118.00000
792425.186476125,1449153.85243934,1,10361.00000,9811.00000,9781.00000,10884.00000,15128.00000,17037.00000,13486.00000,5108.00000
798145.101177543,1450267.12442821,1,10238.00000,9702.00000,9498.00000,10045.00000,14711.00000,17069.00000,13448.00000,5123.00000
776628.240841003,1429210.92836292,2,11415.00000,10885.00000,10436.00000,10392.00000,11638.00000,11361.00000,10539.00000,5243.00000
782604.080137562,1429965.90591859,2,11297.00000,10749.00000,10313.00000,10345.00000,11259.00000,11392.00000,10756.00000,5242.00000
780850.996660841,1427406.65996717,2,11384.00000,10901.00000,10439.00000,10566.00000,12071.00000,11779.00000,10757.00000,5255.00000
785339.274248139,1427086.75422324,2,11432.00000,10917.00000,10527.00000,10551.00000,11868.00000,11302.00000,10288.00000,5228.00000
786983.589771925,1432921.83499248,2,11133.00000,10762.00000,10067.00000,10129.00000,12177.00000,11297.00000,10649.00000,5217.00000
790656.107712209,1431597.42521262,2,11549.00000,11200.00000,11825.00000,12795.00000,16365.00000,17242.00000,13811.00000,5196.00000
790444.969921217,1430720.88347426,2,11114.00000,10612.00000,10368.00000,10444.00000,11490.00000,11338.00000,10347.00000,5208.00000
791347.104119091,1429812.3511615,2,11514.00000,10992.00000,10388.00000,10429.00000,11872.00000,10505.00000,9238.00000,5179.00000
791775.777815954,1435295.53561242,2,11025.00000,10536.00000,10171.00000,10322.00000,12356.00000,12268.00000,11175.00000,5147.00000
791353.502233971,1440573.98038721,2,11020.00000,10508.00000,10257.00000,10474.00000,12550.00000,13142.00000,11647.00000,5137.00000
793592.84244146,1439319.94987102,2,11008.00000,10544.00000,10158.00000,10341.00000,12007.00000,11765.00000,10823.00000,5153.00000
793503.26883316,1438321.84394997,2,10953.00000,10442.00000,10174.00000,10333.00000,11853.00000,12087.00000,11017.00000,5129.00000
786260.60279065,1439652.6518447,2,11473.00000,11027.00000,10782.00000,11048.00000,12413.00000,12905.00000,12157.00000,5182.00000
789485.252689435,1440612.36907649,2,11204.00000,10713.00000,10556.00000,10774.00000,12292.00000,12085.00000,11190.00000,5207.00000
782971.971743079,1439780.61414227,2,11386.00000,10943.00000,10687.00000,11104.00000,12546.00000,13191.00000,12155.00000,5216.00000
784098.039961702,1442058.34303904,2,11438.00000,10973.00000,10756.00000,11089.00000,12491.00000,12670.00000,11697.00000,5203.00000
781692.34876737,1441776.82598438,2,11211.00000,10625.00000,10291.00000,10333.00000,12100.00000,12045.00000,11095.00000,5184.00000
